You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Initializing t5-11b on cuda...
🚀 Enabling LoRA Fine-tuning...
trainable params: 20,054,016 || all params: 11,327,375,360 || trainable%: 0.1770
Loading data from data/raw/train_100k.jsonl...
Loaded 100000 samples.
Loading data from data/raw/valid.jsonl...
Loaded 500 samples.

Start Training: 100k | Effective Batch Size: 2 | AMP: bf16
/usr/local/lib/python3.10/dist-packages/apex/_autocast_utils.py:26: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return torch.cuda.amp.autocast_mode._cast(args, torch.get_autocast_gpu_dtype())
/usr/local/lib/python3.10/dist-packages/apex/normalization/fused_layer_norm.py:214: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=False):
Epoch 0 | Batch 0/50000 | Loss: 4.2438
Epoch 0 | Batch 50/50000 | Loss: 2.6510
Epoch 0 | Batch 100/50000 | Loss: 3.3870
Epoch 0 | Batch 150/50000 | Loss: 2.7419
Epoch 0 | Batch 200/50000 | Loss: 2.7640
Epoch 0 | Batch 250/50000 | Loss: 2.2435
Epoch 0 | Batch 300/50000 | Loss: 4.2173
Epoch 0 | Batch 350/50000 | Loss: 2.3037
Epoch 0 | Batch 400/50000 | Loss: 2.3725
Epoch 0 | Batch 450/50000 | Loss: 3.1453
Epoch 0 | Batch 500/50000 | Loss: 3.3367
Epoch 0 | Batch 550/50000 | Loss: 2.8352
Epoch 0 | Batch 600/50000 | Loss: 2.6391
Epoch 0 | Batch 650/50000 | Loss: 3.0090
Epoch 0 | Batch 700/50000 | Loss: 2.6668
Epoch 0 | Batch 750/50000 | Loss: 2.8561
Epoch 0 | Batch 800/50000 | Loss: 2.9644
Epoch 0 | Batch 850/50000 | Loss: 2.2657
Epoch 0 | Batch 900/50000 | Loss: 3.0297
Epoch 0 | Batch 950/50000 | Loss: 2.6807
Epoch 0 | Batch 1000/50000 | Loss: 2.3530
Epoch 0 | Batch 1050/50000 | Loss: 3.0808
Epoch 0 | Batch 1100/50000 | Loss: 2.6742
Epoch 0 | Batch 1150/50000 | Loss: 3.2937
Epoch 0 | Batch 1200/50000 | Loss: 3.1854
Epoch 0 | Batch 1250/50000 | Loss: 2.6748
Epoch 0 | Batch 1300/50000 | Loss: 2.8432
Epoch 0 | Batch 1350/50000 | Loss: 2.4872
Epoch 0 | Batch 1400/50000 | Loss: 2.7595
Epoch 0 | Batch 1450/50000 | Loss: 2.2525
Epoch 0 | Batch 1500/50000 | Loss: 3.1934
Epoch 0 | Batch 1550/50000 | Loss: 3.1596
Epoch 0 | Batch 1600/50000 | Loss: 1.9643
Epoch 0 | Batch 1650/50000 | Loss: 3.4797
Epoch 0 | Batch 1700/50000 | Loss: 2.7939
Epoch 0 | Batch 1750/50000 | Loss: 3.1203
Epoch 0 | Batch 1800/50000 | Loss: 2.9754
Epoch 0 | Batch 1850/50000 | Loss: 3.0821
Epoch 0 | Batch 1900/50000 | Loss: 3.2561
Epoch 0 | Batch 1950/50000 | Loss: 3.1998
Epoch 0 | Batch 2000/50000 | Loss: 2.6900
Epoch 0 | Batch 2050/50000 | Loss: 2.8306
Epoch 0 | Batch 2100/50000 | Loss: 2.5011
Epoch 0 | Batch 2150/50000 | Loss: 3.1487
Epoch 0 | Batch 2200/50000 | Loss: 2.8743
Epoch 0 | Batch 2250/50000 | Loss: 2.4591
Epoch 0 | Batch 2300/50000 | Loss: 3.5959
Epoch 0 | Batch 2350/50000 | Loss: 2.7900
Epoch 0 | Batch 2400/50000 | Loss: 2.7577
Epoch 0 | Batch 2450/50000 | Loss: 3.3428
Epoch 0 | Batch 2500/50000 | Loss: 3.0419
Epoch 0 | Batch 2550/50000 | Loss: 3.4396
Epoch 0 | Batch 2600/50000 | Loss: 2.5962
Epoch 0 | Batch 2650/50000 | Loss: 2.9063
Epoch 0 | Batch 2700/50000 | Loss: 3.0246
Epoch 0 | Batch 2750/50000 | Loss: 2.8667
Epoch 0 | Batch 2800/50000 | Loss: 2.8213
Epoch 0 | Batch 2850/50000 | Loss: 2.9530
Epoch 0 | Batch 2900/50000 | Loss: 2.8857
Epoch 0 | Batch 2950/50000 | Loss: 2.6176
Epoch 0 | Batch 3000/50000 | Loss: 3.0970
Epoch 0 | Batch 3050/50000 | Loss: 2.7625
Epoch 0 | Batch 3100/50000 | Loss: 3.0431
Epoch 0 | Batch 3150/50000 | Loss: 2.8283
Epoch 0 | Batch 3200/50000 | Loss: 2.9424
Epoch 0 | Batch 3250/50000 | Loss: 2.6319
Epoch 0 | Batch 3300/50000 | Loss: 2.6575
Epoch 0 | Batch 3350/50000 | Loss: 2.8800
Epoch 0 | Batch 3400/50000 | Loss: 3.5132
Epoch 0 | Batch 3450/50000 | Loss: 2.8641
Epoch 0 | Batch 3500/50000 | Loss: 2.3530
Epoch 0 | Batch 3550/50000 | Loss: 3.6068
Epoch 0 | Batch 3600/50000 | Loss: 2.6995
Epoch 0 | Batch 3650/50000 | Loss: 2.6794
Epoch 0 | Batch 3700/50000 | Loss: 3.0239
Epoch 0 | Batch 3750/50000 | Loss: 2.8915
Epoch 0 | Batch 3800/50000 | Loss: 3.0444
Epoch 0 | Batch 3850/50000 | Loss: 2.8039
Epoch 0 | Batch 3900/50000 | Loss: 4.4374
Epoch 0 | Batch 3950/50000 | Loss: 3.5204
Epoch 0 | Batch 4000/50000 | Loss: 2.7055
Epoch 0 | Batch 4050/50000 | Loss: 2.6681
Epoch 0 | Batch 4100/50000 | Loss: 2.8948
Epoch 0 | Batch 4150/50000 | Loss: 3.5446
Epoch 0 | Batch 4200/50000 | Loss: 2.3993
Epoch 0 | Batch 4250/50000 | Loss: 3.0153
Epoch 0 | Batch 4300/50000 | Loss: 3.1507
Epoch 0 | Batch 4350/50000 | Loss: 2.9923
Epoch 0 | Batch 4400/50000 | Loss: 2.9144
Epoch 0 | Batch 4450/50000 | Loss: 3.1808
Epoch 0 | Batch 4500/50000 | Loss: 3.8494
Epoch 0 | Batch 4550/50000 | Loss: 2.6946
Epoch 0 | Batch 4600/50000 | Loss: 2.3056
Epoch 0 | Batch 4650/50000 | Loss: 3.1794
Epoch 0 | Batch 4700/50000 | Loss: 3.5288
Epoch 0 | Batch 4750/50000 | Loss: 2.6868
Epoch 0 | Batch 4800/50000 | Loss: 2.5127
Epoch 0 | Batch 4850/50000 | Loss: 3.1570
Epoch 0 | Batch 4900/50000 | Loss: 2.9090
Epoch 0 | Batch 4950/50000 | Loss: 2.7565
Epoch 0 | Batch 5000/50000 | Loss: 2.8018
Epoch 0 | Batch 5050/50000 | Loss: 2.6950
Epoch 0 | Batch 5100/50000 | Loss: 2.4742
Epoch 0 | Batch 5150/50000 | Loss: 2.9621
Epoch 0 | Batch 5200/50000 | Loss: 3.1303
Epoch 0 | Batch 5250/50000 | Loss: 2.0241
Epoch 0 | Batch 5300/50000 | Loss: 2.6492
Epoch 0 | Batch 5350/50000 | Loss: 2.7059
Epoch 0 | Batch 5400/50000 | Loss: 3.5737
Epoch 0 | Batch 5450/50000 | Loss: 2.7971
Epoch 0 | Batch 5500/50000 | Loss: 2.8480
Epoch 0 | Batch 5550/50000 | Loss: 2.8459
Epoch 0 | Batch 5600/50000 | Loss: 3.2096
Epoch 0 | Batch 5650/50000 | Loss: 3.0417
Epoch 0 | Batch 5700/50000 | Loss: 2.7362
Epoch 0 | Batch 5750/50000 | Loss: 2.3708
Epoch 0 | Batch 5800/50000 | Loss: 3.0528
Epoch 0 | Batch 5850/50000 | Loss: 2.3929
Epoch 0 | Batch 5900/50000 | Loss: 3.4807
Epoch 0 | Batch 5950/50000 | Loss: 2.6445
Epoch 0 | Batch 6000/50000 | Loss: 2.3215
Epoch 0 | Batch 6050/50000 | Loss: 3.4942
Epoch 0 | Batch 6100/50000 | Loss: 3.3410
Epoch 0 | Batch 6150/50000 | Loss: 2.2989
Epoch 0 | Batch 6200/50000 | Loss: 2.3275
Epoch 0 | Batch 6250/50000 | Loss: 2.6001
