You are using the default legacy behaviour of the <class 'transformers.models.t5.tokenization_t5.T5Tokenizer'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565
Initializing t5-large on cuda...
Running full-parameter fine-tuning.
Loading data from data/raw/train_100k.jsonl...
Loaded 100000 samples.
Loading data from data/raw/valid.jsonl...
Loaded 500 samples.

Start Training: 100k | Effective Batch Size: 32 | AMP: bf16
/usr/local/lib/python3.10/dist-packages/apex/_autocast_utils.py:26: FutureWarning: `torch.cuda.amp.autocast_mode._cast(value, dtype)` is deprecated. Please use `torch.amp.autocast_mode._cast(value, 'cuda', dtype)` instead.
  return torch.cuda.amp.autocast_mode._cast(args, torch.get_autocast_gpu_dtype())
/usr/local/lib/python3.10/dist-packages/apex/normalization/fused_layer_norm.py:214: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=False):
Epoch 0 | Batch 0/3125 | Loss: 3.6483
Epoch 0 | Batch 50/3125 | Loss: 3.0492
Epoch 0 | Batch 100/3125 | Loss: 3.0725
Epoch 0 | Batch 150/3125 | Loss: 3.1700
Epoch 0 | Batch 200/3125 | Loss: 3.1050
Epoch 0 | Batch 250/3125 | Loss: 3.2398
Epoch 0 | Batch 300/3125 | Loss: 3.0220
Epoch 0 | Batch 350/3125 | Loss: 3.0798
Epoch 0 | Batch 400/3125 | Loss: 3.0909
Epoch 0 | Batch 450/3125 | Loss: 3.2056
Epoch 0 | Batch 500/3125 | Loss: 3.0011
Epoch 0 | Batch 550/3125 | Loss: 2.9938
Epoch 0 | Batch 600/3125 | Loss: 3.1785
Epoch 0 | Batch 650/3125 | Loss: 3.1311
Epoch 0 | Batch 700/3125 | Loss: 3.0822
Epoch 0 | Batch 750/3125 | Loss: 2.8136
Epoch 0 | Batch 800/3125 | Loss: 2.9438
Epoch 0 | Batch 850/3125 | Loss: 3.1194
Epoch 0 | Batch 900/3125 | Loss: 3.0215
Epoch 0 | Batch 950/3125 | Loss: 3.0079
Epoch 0 | Batch 1000/3125 | Loss: 3.0124
Epoch 0 | Batch 1050/3125 | Loss: 3.1491
Epoch 0 | Batch 1100/3125 | Loss: 3.0141
Epoch 0 | Batch 1150/3125 | Loss: 3.0511
Epoch 0 | Batch 1200/3125 | Loss: 3.1276
Epoch 0 | Batch 1250/3125 | Loss: 2.9781
Epoch 0 | Batch 1300/3125 | Loss: 2.9408
Epoch 0 | Batch 1350/3125 | Loss: 3.1632
Epoch 0 | Batch 1400/3125 | Loss: 2.9324
Epoch 0 | Batch 1450/3125 | Loss: 3.0950
Epoch 0 | Batch 1500/3125 | Loss: 3.0604
Epoch 0 | Batch 1550/3125 | Loss: 3.1944
Epoch 0 | Batch 1600/3125 | Loss: 2.9684
Epoch 0 | Batch 1650/3125 | Loss: 3.0600
Epoch 0 | Batch 1700/3125 | Loss: 2.9510
Epoch 0 | Batch 1750/3125 | Loss: 3.1921
Epoch 0 | Batch 1800/3125 | Loss: 2.9795
Epoch 0 | Batch 1850/3125 | Loss: 3.1165
Epoch 0 | Batch 1900/3125 | Loss: 3.1101
Epoch 0 | Batch 1950/3125 | Loss: 3.0484
Epoch 0 | Batch 2000/3125 | Loss: 3.1158
Epoch 0 | Batch 2050/3125 | Loss: 3.1158
Epoch 0 | Batch 2100/3125 | Loss: 3.0081
Epoch 0 | Batch 2150/3125 | Loss: 3.1469
Epoch 0 | Batch 2200/3125 | Loss: 3.0289
Epoch 0 | Batch 2250/3125 | Loss: 3.0252
Epoch 0 | Batch 2300/3125 | Loss: 3.1782
Epoch 0 | Batch 2350/3125 | Loss: 3.1054
Epoch 0 | Batch 2400/3125 | Loss: 3.1544
Epoch 0 | Batch 2450/3125 | Loss: 3.0601
Epoch 0 | Batch 2500/3125 | Loss: 2.9721
Epoch 0 | Batch 2550/3125 | Loss: 2.9745
Epoch 0 | Batch 2600/3125 | Loss: 2.9953
Epoch 0 | Batch 2650/3125 | Loss: 2.9120
Epoch 0 | Batch 2700/3125 | Loss: 3.0441
Epoch 0 | Batch 2750/3125 | Loss: 2.9419
Epoch 0 | Batch 2800/3125 | Loss: 2.8753
Epoch 0 | Batch 2850/3125 | Loss: 2.9433
Epoch 0 | Batch 2900/3125 | Loss: 2.8607
Epoch 0 | Batch 2950/3125 | Loss: 3.0522
Epoch 0 | Batch 3000/3125 | Loss: 3.0860
Epoch 0 | Batch 3050/3125 | Loss: 3.1049
Epoch 0 | Batch 3100/3125 | Loss: 3.1404
Epoch 0 | Time: 472.0s | Train: 3.0547 | Val: 3.6344
New best model saved! Val Loss: 3.6344
Epoch 1 | Batch 0/3125 | Loss: 2.8404
Epoch 1 | Batch 50/3125 | Loss: 2.8282
Epoch 1 | Batch 100/3125 | Loss: 2.7990
Epoch 1 | Batch 150/3125 | Loss: 2.7754
Epoch 1 | Batch 200/3125 | Loss: 2.7741
Epoch 1 | Batch 250/3125 | Loss: 2.9180
Epoch 1 | Batch 300/3125 | Loss: 2.6967
Epoch 1 | Batch 350/3125 | Loss: 2.4649
Epoch 1 | Batch 400/3125 | Loss: 2.8157
Epoch 1 | Batch 450/3125 | Loss: 2.7039
Epoch 1 | Batch 500/3125 | Loss: 2.6953
Epoch 1 | Batch 550/3125 | Loss: 2.8369
Epoch 1 | Batch 600/3125 | Loss: 2.6624
Epoch 1 | Batch 650/3125 | Loss: 2.7745
Epoch 1 | Batch 700/3125 | Loss: 2.8432
Epoch 1 | Batch 750/3125 | Loss: 2.8197
Epoch 1 | Batch 800/3125 | Loss: 2.8214
Epoch 1 | Batch 850/3125 | Loss: 2.6332
Epoch 1 | Batch 900/3125 | Loss: 2.8342
Epoch 1 | Batch 950/3125 | Loss: 2.9324
Epoch 1 | Batch 1000/3125 | Loss: 2.8545
Epoch 1 | Batch 1050/3125 | Loss: 2.8631
Epoch 1 | Batch 1100/3125 | Loss: 2.7553
Epoch 1 | Batch 1150/3125 | Loss: 2.8793
Epoch 1 | Batch 1200/3125 | Loss: 2.7598
Epoch 1 | Batch 1250/3125 | Loss: 2.9337
Epoch 1 | Batch 1300/3125 | Loss: 2.8076
Epoch 1 | Batch 1350/3125 | Loss: 2.7738
Epoch 1 | Batch 1400/3125 | Loss: 2.8434
Epoch 1 | Batch 1450/3125 | Loss: 2.7617
Epoch 1 | Batch 1500/3125 | Loss: 2.9069
Epoch 1 | Batch 1550/3125 | Loss: 2.9274
Epoch 1 | Batch 1600/3125 | Loss: 2.7375
Epoch 1 | Batch 1650/3125 | Loss: 2.8867
Epoch 1 | Batch 1700/3125 | Loss: 2.6864
Epoch 1 | Batch 1750/3125 | Loss: 2.7864
Epoch 1 | Batch 1800/3125 | Loss: 2.7613
Epoch 1 | Batch 1850/3125 | Loss: 2.9332
Epoch 1 | Batch 1900/3125 | Loss: 2.9373
Epoch 1 | Batch 1950/3125 | Loss: 2.9581
Epoch 1 | Batch 2000/3125 | Loss: 2.7021
Epoch 1 | Batch 2050/3125 | Loss: 3.0297
Epoch 1 | Batch 2100/3125 | Loss: 2.8848
Epoch 1 | Batch 2150/3125 | Loss: 2.9104
Epoch 1 | Batch 2200/3125 | Loss: 2.9734
Epoch 1 | Batch 2250/3125 | Loss: 2.7645
Epoch 1 | Batch 2300/3125 | Loss: 2.9576
Epoch 1 | Batch 2350/3125 | Loss: 2.9004
Epoch 1 | Batch 2400/3125 | Loss: 2.9704
Epoch 1 | Batch 2450/3125 | Loss: 2.7684
Epoch 1 | Batch 2500/3125 | Loss: 2.7851
Epoch 1 | Batch 2550/3125 | Loss: 2.8962
Epoch 1 | Batch 2600/3125 | Loss: 2.8650
Epoch 1 | Batch 2650/3125 | Loss: 2.8331
Epoch 1 | Batch 2700/3125 | Loss: 2.8806
Epoch 1 | Batch 2750/3125 | Loss: 2.9000
Epoch 1 | Batch 2800/3125 | Loss: 2.8872
Epoch 1 | Batch 2850/3125 | Loss: 2.7771
Epoch 1 | Batch 2900/3125 | Loss: 2.8400
Epoch 1 | Batch 2950/3125 | Loss: 2.8164
Epoch 1 | Batch 3000/3125 | Loss: 2.6797
Epoch 1 | Batch 3050/3125 | Loss: 2.6285
Epoch 1 | Batch 3100/3125 | Loss: 2.9339
